CustomerID,TransactionID,Transaction_Date,Product,Product_Count,Cost
180599,118059920170114,2017-01-14,B,2,300
180599,218059920170218,2017-02-18,C,3,225
180599,318059920170501,2017-05-01,C,2,150
180599,418059920170718,2017-07-18,A,2,200
180599,518059920171016,2017-10-16,B,2,300
180599,618059920171115,2017-11-15,A,2,200
180599,718059920180202,2018-02-02,B,3,450
180599,818059920180326,2018-03-26,B,2,300
180599,918059920180508,2018-05-08,C,2,150
180599,1018059920180802,2018-08-02,A,2,200
180599,1118059920180929,2018-09-29,A,3,300
180599,1218059920181026,2018-10-26,B,1,150
180599,1318059920190123,2019-01-23,B,2,300
180599,1418059920190417,2019-04-17,A,2,200
180599,1518059920190729,2019-07-29,C,2,150
181702,118170220170112,2017-01-12,E,6,750
181702,218170220170115,2017-01-15,A,8,800
181702,318170220170119,2017-01-19,A,8,800
181702,418170220170122,2017-01-22,A,11,1100
181702,518170220170204,2017-02-04,E,10,1250
181702,618170220170212,2017-02-12,A,7,700
181702,718170220170218,2017-02-18,E,6,750
181702,818170220170221,2017-02-21,C,5,375
181702,918170220170307,2017-03-07,E,3,375
181702,1018170220170321,2017-03-21,E,4,500
181702,1118170220170326,2017-03-26,E,7,875
181702,1218170220170330,2017-03-30,C,5,375
181702,1318170220170406,2017-04-06,C,11,825
181702,1418170220170418,2017-04-18,B,6,900
181702,1518170220170422,2017-04-22,B,8,1200
181702,1618170220170430,2017-04-30,B,8,1200
181702,1718170220170515,2017-05-15,C,7,525
181702,1818170220170519,2017-05-19,A,8,800
181702,1918170220170601,2017-06-01,A,10,1000
181702,2018170220170606,2017-06-06,E,7,875
181702,2118170220170621,2017-06-21,A,9,900
181702,2218170220170628,2017-06-28,C,3,225
181702,2318170220170705,2017-07-05,A,4,400
181702,2418170220170714,2017-07-14,B,8,1200
181702,2518170220170801,2017-08-01,C,5,375
181702,2618170220170813,2017-08-13,A,5,500
181702,2718170220170822,2017-08-22,C,8,600
181702,2818170220170828,2017-08-28,E,9,1125
181702,2918170220170901,2017-09-01,E,4,500
181702,3018170220170909,2017-09-09,C,6,450
181702,3118170220170912,2017-09-12,A,4,400
181702,3218170220170917,2017-09-17,E,9,1125
181702,3318170220170925,2017-09-25,A,5,500
181702,3418170220171009,2017-10-09,C,5,375
181702,3518170220171010,2017-10-10,C,5,375
181702,3618170220171103,2017-11-03,C,8,600
181702,3718170220171111,2017-11-11,B,6,900
181702,3818170220171124,2017-11-24,B,3,450
181702,3918170220171128,2017-11-28,B,6,900
181702,4018170220171130,2017-11-30,E,5,625
181702,4118170220171201,2017-12-01,B,3,450
181702,4218170220171217,2017-12-17,B,3,450
